ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,324836.30,7381646.42,355030879000027,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,PQ GUARAPIRANGA-CECCO,"GUARAPIRANGA,DE,ESTR,575",PQ. ALVES DE LIMA,55151696.000000,4901000.000000,2786605.000000,1,Municipal,14,CENTRO DE CONVIVENCIA E COOPERATIVA (CECCO),3,SAUDE MENTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,354096.88,7399642.94,355030884000093,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CHICO MENDES-CECCO PQ ECOLOGICO,"CEMBIRA,R,1201",V CURUCA,61353130.000000,8032010,2027437.000000,1,Municipal,14,CENTRO DE CONVIVENCIA E COOPERATIVA (CECCO),3,SAUDE MENTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,336858.42,7398621.19,355030886000008,3550308005031,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 1,VILA MARIA/VILA GUILHERME - CECCO,"SAO QUIRINO,R,905",V GUILHERME,29052135.000000,2056070.000000,5924316.000000,1,Municipal,14,CENTRO DE CONVIVENCIA E COOPERATIVA (CECCO),3,SAUDE MENTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,339880.58,7390961.94,355030893000037,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-CECCO,"FRANCISCO FALCONI,R,100",JD. AVELINO,62118131.000000,3227000,2786591.000000,1,Municipal,14,CENTRO DE CONVIVENCIA E COOPERATIVA (CECCO),3,SAUDE MENTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,337456.03,7388343.70,355030868000236,3550308005086,69,SACOMA,13,IPIRANGA,Sul,Sul 1,SERVICO ESTADUAL DIAGNOSTICO POR IMAGEM,"ALMIRANTE DELAMARE,AV,1534",IPIRANGA,20653150.000000,4230000.000001,6926207.000000,2,Estadual,15,SERVICO ESTADUAL DIAGNOSTICO POR IMAGEM - SEDI,2,APOIO DIAGNOSTICO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,347981.20,7390310.11,355030873000102,3550308005154,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,SAO MATEUS - CENTRO DIAGNOSTICO IMAGEM,"MATEO BEI,R,838",SAO MATEUS,69190697.000000,3949001.000000,3219852.000000,1,Municipal,15,CENTRO DE DIAGNOSTICO POR IMAGEM,2,APOIO DIAGNOSTICO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,333797.74,7394537.14,355030878000003,3550308005001,80,SE,9,SE,Centro,Centro,UNIDADE DIAGNËSTICO POR IMAGEM - SE,"FREDERICO ALVARENGA,R,259",PQ DOM PEDRO,31052742.000000,1020030.000000,5457963.000000,1,Municipal,15,CENTRO DE DIAGNOSTICO POR IMAGEM,2,APOIO DIAGNOSTICO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,332689.30,7391985.15,355030890000161,3550308005020,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,SERVICO ESTADUAL DE DIAGNOSTICO POR IMAGEM III SEDI III,"VERGUEIRO,R,1353",PARAISO,50887900.000000,4101000.000000,6927726.000000,2,Estadual,15,SERVICO ESTADUAL DIAGNOSTICO POR IMAGEM - SEDI,2,APOIO DIAGNOSTICO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,326898.89,7382376.30,355030816000098,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,SERVICO ESTADUAL DE DIAGNOSTICO POR IMAGEM I SEDI I,"NOSSA SENHORA DO SABARA,AV,234",CAMPO GRANDE,,4686000.000000,6932355,2,Estadual,15,SERVICO ESTADUAL DIAGNOSTICO POR IMAGEM - SEDI,2,APOIO DIAGNOSTICO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,339203.49,7392421.28,355030801000007,3550308005039,1,AGUA RASA,25,MOOCA,Leste,Leste 1,MOOCA-CEO II,"FAROL PAULISTANO,R,410",JD ITALIA,69651066.000000,,2752344.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,332407.26,7393863.08,355030807000093,3550308005010,7,BELA VISTA,9,SE,Centro,Centro,"ALFREDO VIEGAS,PROF-CEO","HUMAITA,R,520",BELA VISTA,32414403.000000,1321010,2072270.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,327921.33,7403064.53,355030811000037,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,FREGUESIA - CEO,"RUI DE MORAIS APOCALIPSE,R,2",BRASILANDIA,39217759.000000,2842260.000000,2788071.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,323217.66,7390469.37,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,BUTANTA - CEO,"JOAO GUERRA,R,247",JD. PERI PERI,37420552.000000,5535100,2027240.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,321509.19,7384756.39,355030817000144,3550308005233,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO LIMPO - CEO,"FRANCISCO SOARES,R,81",JD. INGA,58165540.000000,5774300,2788268.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,344383.77,7394433.35,355030820000075,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,ARICANDUVA-CEO,"JACI BARBOSA,DR,R,280",CARRAOZINHO,67854728.000000,3447000,2752352.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,330100.27,7399122.68,355030821000126,3550308005030,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,CASA VERDE - CEO,"MOURAO VIEIRA,R,11",CASA VERDE,38588626.000000,2518020.000000,2091712.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,357263.76,7389224.01,355030825000286,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES - CEO,"FERNANDO GANGA,R,14",CIDADE TIRADENTES,25161729.000000,8471000.000000,5468094.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,357263.76,7389224.01,355030825000286,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES - NIR,"FERNANDO GANGA,R,14",CIDADE TIRADENTES,25161729.000000,8471000.000000,5468094.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,349457.90,7400914.70,355030828000049,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO - CEO,"JOSE GOES NOGUEIRA,R,70",V  PARANAGUA,65460098.000000,,2751836.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,328170.77,7371824.46,355030830000013,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MILTON ALDRED,DR-CEO ","SAO CAETANO DO SUL,R,381",GRAJAU,59322015.000000,4840230,2751909.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,328170.77,7371824.46,355030830000013,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MILTON ALDRED,DR- NISA","SAO CAETANO DO SUL,R,381",GRAJAU,59322015.000000,4840230,2751909.000000,1,Municipal,55,NUCLEO INTEGRADO DE SAUDE AUDITIVA,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,355791.87,7394001.48,355030831000169,3550308005264,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,GUAIANASES - CEO,"MACABU,R,35",JD. SAO CARLOS,25577021.000000,8411470.000000,4050312.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,335850.01,7390507.99,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA-CEO ,"XAVIER DE ALMEIDA,R,210",IPIRANGA,61630622.000000,,2751860.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,335850.01,7390507.99,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA-NIR ,"XAVIER DE ALMEIDA,R,210",IPIRANGA,61630622.000000,,2751860.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,335850.01,7390507.99,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA-NISA,"XAVIER DE ALMEIDA,R,210",IPIRANGA,61630622.000000,,2751860.000000,1,Municipal,55,NUCLEO INTEGRADO DE SAUDE AUDITIVA,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,336423.06,7390853.76,355030834000146,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,VISCONDE DE ITAUNA -CEO,"LINO COUTINHO,R,141",IPIRANGA,22727220.000000,4207001.000000,5380197.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,332935.56,7383326.54,355030838000094,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA - CEO,"ARMANDO DE ARRUDA PEREIRA,AV,ENG.2944",V DO ENCONTRO,55882366.000000,4308001.000000,2042991.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,320915.60,7382632.45,355030846000224,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,M'BOI MIRIM - CEO,"MANUEL BORDALO PINHEIRO,R,100",PQ SANTO ANTONIO,55114229.000000,5850230.000000,2788454.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,353528.63,7394455.08,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,ITAQUERA - CEO,"ANDREAS AMON,R,150",ITAQUERA,25242455.000000,8255130.000000,2751895.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,327762.67,7396218.20,355030860000062,3550308005055,61,PERDIZES,8,LAPA,Oeste,Oeste,LAPA-CEO,"COTOXO,R,1000",POMPEIA,38627139.000000,5033002.000000,3257797,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,323610.67,7362691.06,355030855000059,3550308005300,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,PARELHEIROS - CEO YVETTE VIEGAS,"ESTRADA ENGENHEIRO MARSILAC,1047",PARELHEIROS,59221881.000000,4890300.000000,5012600,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,329662.50,7378259.60,355030858000125,3550308005213,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,UMBERTO NASTARI-CEO PEDREIRA,"ALVARENGA,ESTR,257",,56123024.000000,4431160,2786621.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,333404.51,7399812.59,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 1,JOAQUIM ANTONIO EIRADO-CEO,"BRAS LEME,AV,2945",SANTANA,69730733.000000,2022011,2027631.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,326412.95,7383771.83,355030871000012,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CEO,"ITU,CONDE,R,359",STO  AMARO,56875039.000000,4752010.000000,2788640.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,320358.74,7401235.18,355030895000061,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 2,PIRITUBA-CEO,"MARCELA ALVES DE CASSIA,R,175",JD JARAGUA,39048999.000000,,2788241.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,352867.13,7400735.09,355030874000093,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES - CEO,"ANTONIO GAMA DE CERQUEIRA, PROF,R,347",V AMERICANA,29569099.000000,8010130.000000,2751976.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,351299.99,7385828.42,355030875000151,3550308005277,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,S?O FRANCISCO - CEO,"BANDEIRA DO ARACAMBI,S/N",JD. SAO FRANCISCO,27516712.000000,8310010,2788527.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,347654.40,7387960.98,355030876000172,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,VILA PRUDENTE-CEO,"JOAO LOPES DE LIMA,R,1151",JD SAPOPEMBA,69623480.000000,,2751968.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,332060.24,7385924.09,355030877000121,3550308005094,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,VILA MARIANA-CEO,"CECI,AV,2235",PLANALTO PAULISTA,55812828.000000,,2751844.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,336082.67,7398417.94,355030886000029,3550308005031,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 1,VILA MARIA - CEO,"JOAO VENTURA BATISTA,R,615",V GUILHERME,29015883.000000,2054100.000000,2788950.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,343527.60,7396410.26,355030891000098,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,PENHA-CEO,"EDGAR GARCIA VIEIRA,R,DR,130",VILA MATILDE,66515123.000000,3510040.000000,3382613.000000,1,Municipal,24,CENTRO DE ESPECIALIDADES ODONTOLOGICAS/CEO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,321325.55,7386402.04,355030817000137,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD UMARIZAL-C REABIL  FUNDACAO FAC MED USP,"GUARAMEMBE,R,589",JD UMARIZAL,58417414.000000,,2091690,2,Estadual,20,CENTRO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,334337.21,7389405.65,355030890000089,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,C R HOMEOPATIA E MEDICINA TRADICIONAL,"JOAO BATISTUSSI,R,55",CONJ DOS BANCARIOS,55712682.000000,4121100,2786796.000000,1,Municipal,16,OUTROS SERVICOS,9,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,332878.04,7396590.89,355030809000013,3550308005004,9,BOM RETIRO,9,SE,Centro,Centro,TABACO/ALCOOL/OUT DROGAS - CR,"PRATES,R,165",BOM RETIRO,2273871.000000,1121000,2068915,2,Estadual,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,356181.01,7395571.52,355030896000089,3550308005260,47,LAJEADO,28,GUAIANASES,Leste,Leste 2,PLANTAS MEDICINAIS - CR,"COSME DEODATO TADEU,PROF,R,136",GUAIANAZES,29610883.000000,8450380.000000,5841666.000000,1,Municipal,16,CENTRO DE REFERENCIA,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,332576.71,7394990.83,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,CENTRO REFERENCIA SAUDE TRABALHADOR-CEREST,"CRISPINIANO,CONS,20",CENTRO,32599075.000000,01037000,3389790,2,Estadual,16,CENTRO REFERENCIA DE SAUDE DO TRABALHADOR,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,329500.85,7382907.29,355030822000316,3550308005169,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,CIDADE ADEMAR - URSI,"SEBASTIAO ANDRADE BONANI,R,340",JD PROMISS+O,56789364.000000,4649050.000000,5599881.000000,1,Municipal,17,UNIDADE DE REFERENCIA SAUDE DO IDOSO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,326312.41,7397610.56,355030848000107,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,LAPA - URSI,"ROMA,R,466",LAPA,36752464.000000,,2751941,1,Municipal,17,UNIDADE DE REFERENCIA SAUDE DO IDOSO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,336273.77,7394013.50,355030853000023,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,MOOCA - URSI,"MARINA CRESPI,R,91",MOOCA,22929512.000000,3112090,2751917.000000,1,Municipal,17,UNIDADE DE REFERENCIA SAUDE DO IDOSO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,331319.42,7396607.58,355030869000001,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,SE - URSI,"VITORINO CARMILO,R,599",CAMPOS ELISEOS,38260096.000000,1153000.000000,2752336.000000,1,Municipal,17,UNIDADE DE REFERENCIA SAUDE DO IDOSO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,333407.09,7401861.87,355030870000111,3550308005065,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 1,CENTRO DE REFERENCIA DO IDOSO - ZONA NORTE DE SAO PAULO,"VOLUNTARIOS DA PATRIA,4301",MANDAQUI,29729200.000000,2401400.000000,3444538,2,Estadual,17,UNIDADE DE REFERENCIA SAUDE DO IDOSO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
