ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,
240,329183.62,7394215.55,355030845000171,3550308005025,45,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,GERALDO H P DE SOUZA-CS II,"ARNALDO,DR,AV,925",PACAEMBU,30851134.000000,1246904,2091321,2,Estadual,18,CENTRO DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
241,324375.77,7398519.40,355030848000089,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,V ANASTACIO-UBS,"BARTOLOMEU PAES,R,686",V ANASTACIO,38361146.000000,5061050,2788675.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
242,325081.87,7400649.61,355030863000081,3550308005112,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,MOINHO VELHO I-UBS,"DOMINGOS COELHO,PCA,5",PIRITUBA,39767601.000000,2933180,2788136.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
243,326312.41,7397610.56,355030848000107,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,LAPA-PAM,"ROMA,R,466",V ROMANA,38732355.000000,5050090,2068931,2,Estadual,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
244,323821.06,7400756.92,355030863000016,3550308005310,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,CHACARA INGLESA-UBS,"LIGACAO,DA,R,95",CHACARA INGLESA,38345985.000000,5142120,2786885.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
245,325021.46,7401441.25,355030863000054,3550308005115,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,V PEREIRA BARRETO-AMA,"MANUEL D'ELBOUX,D,R,76",JD. SAO JOSE,39759019.000000,2932110,6146368.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
246,325021.46,7401441.25,355030863000054,3550308005115,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,V PEREIRA BARRETO-UBS,"MANUEL D'ELBOUX,D,R,76",JD. SAO JOSE,39759019.000000,2932110,2789167.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
247,324241.97,7402562.32,355030863000190,3550308005114,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,JD CID PIRITUBA-UBS,"FEIZ ZARZUR,COM,S/N",JD. CIDADE PIRITUBA,39727333.000000,2942000,2787261.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
248,324190.08,7403364.14,355030863000119,3550308005115,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,DOMINGOS MANTELLI-UBS VILA MIRANTE,"POVOADO DO RIO NOVO,R,1778",V MIRANTE,39748389.000000,2956020,2787008.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
249,325207.08,7402634.20,355030863000213,3550308005115,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,V ZATT-UBS,"MANOEL GOMES,MONS,R,624",V ZATT,39752116.000000,2975120,2789272.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
250,326067.46,7401887.51,355030829000059,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,CRUZ DAS ALMAS-UBS,"FELICIANO DOMINGUES,PE,R,90",V  IORIO,39753531.000000,2965140,4049977.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
251,326297.94,7400842.15,355030829000008,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD GUANABARA-UBS,"PETRONIO PORTELA,MIN,AV,663",FREGUESIA DO O,39752134.000000,2959000,2787407.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
252,326026.55,7402675.94,355030829000115,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V PROGRESSO-UBS (JD MONTE ALEGRE),"ANTONIO GENELE,R,30",JD MONTE ALEGRE,39922349.000000,2811021,2789213.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
253,326063.40,7404154.97,355030829000162,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD PAULISTANO-AMA,"ENCRUZILHADA DO SUL,R, 220",JD PAULISTANO,39722916.000000,2816010,6141714.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
254,326063.40,7404154.97,355030829000162,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD PAULISTANO-UBS,"ENCRUZILHADA DO SUL,R, 220",JD PAULISTANO,39722916.000000,2816010,2787679.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
255,326727.12,7403869.20,355030811000130,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD ICARAI (BRASILANDIA)-UBS,"ALMIR DEHAR,AV,201",PQ. BELEM,39218739.000000,2746000,2787466.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
256,329425.28,7399550.66,355030850000062,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,V BARBOSA-AMA,"MANDAQUI,AV,197",LIMAO,39661302.000000,2550000,6148379.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
257,329425.28,7399550.66,355030850000062,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,V BARBOSA-UBS,"MANDAQUI,AV,197",LIMAO,39661302.000000,2550000,2788756.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
258,328691.73,7400326.26,355030850000009,3550308005061,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,"ADELAIDE LOPES,DONA-UBS V. CAROLINA","CLAVASIO ALVES DA SILVA,AV,683",LIMAO,39368370.000000,2722030,2786710.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
259,330100.48,7399122.46,355030821000126,3550308005030,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,"WALTER ELIAS,DR- CASA VERDE BAIXA UBS","MOURAO VIEIRA,R,11",CASA VERDE,38588593.000000,2518020,2091712.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
260,327904.32,7400689.41,355030829000076,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V PALMEIRAS(V BANCARIA)-AMA,"FRANCISCO LOTUFO,R,24",V PALMEIRA,39318242.000000,2727020,6141730.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
261,327904.32,7400689.41,355030829000076,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V PALMEIRAS(V BANCARIA)-UBS,"FRANCISCO LOTUFO,R,24",V PALMEIRA,39318242.000000,2727020,2789140.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
262,327191.43,7403344.70,355030811000074,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,BRASILANDIA-UBS,"PARAPUA,R,1646",V AUREA,39213830.000000,2771001,2786818.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
263,328347.20,7403795.29,355030811000034,3550308005123,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V PENTEADO-UBS,"URUPEVA,R,S/N",V PENTEADO,38518201.000000,2766080,2789159.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
264,328616.87,7402075.42,355030829000128,3550308005118,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V RAMOS-UBS,"FERRAZ DE VASCONCELOS,R,80",FREGUESIA DO O,39240208.000000,2759100,2027062.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
265,329314.24,7400894.49,355030850000043,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,V STA MARIA-UBS,"DARIO RIBEIRO,PROF,R,670",CASA VERDE ALTA,39656035.000000,2559000,2788632.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
266,330011.82,7401336.07,355030821000074,3550308005062,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,CASA VERDE ALTA-UBS,"LAVINIO SALLES ARCURI,R,120",CASA VERDE ALTA,38588592.000000,2564000,2786869.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
267,329666.28,7402195.62,355030813000142,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,V ESPANHOLA-UBS,"JOAO DOS STOS ABREU,AV, 650",V ESPANHOLA,62392959.000000,2566020.000000,2788853.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
268,329035.35,7403415.34,355030811000109,3550308005121,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,"AUGUSTO L A GALVAO,DR- V. GALVAO UBS","JOAQUINA MARIA SANTOS,R,198",V RICA,38518235.000000,2860110,2786761.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
269,317364.52,7407596.56,355030803000014,3550308005241,3,ANHANGUERA,1,PERUS,Norte,Norte 2,PQ ANHANGUERA - AMA,"ANHANGUERA,ROD KM 24,5/PIERRE RENOIR,100",JD. BRITANIA,39166375.000000,5259000,6146317.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
270,317364.52,7407596.56,355030803000014,3550308005241,3,ANHANGUERA,1,PERUS,Norte,Norte 2,PQ ANHANGUERA - UBS,"ANHANGUERA,ROD KM 24,5/PIERRE RENOIR,100",JD. BRITANIA,39166375.000000,5259000,2788233.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
271,317995.22,7407571.14,355030803000094,3550308005241,3,ANHANGUERA,1,PERUS,Norte,Norte 2,MORADA DO SOL-UBS,"LUIS VAS DE CAMOES,PCA, 35",ANHANGUERA,39418845.000000,5281120,2091739.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
272,320854.70,7405921.36,355030842000038,3550308005185,42,JARAGUA,2,PIRITUBA,Norte,Norte 2,ALPES DO JARAGUA-UBS,"LIMEIRAS,AL,DAS,46",JARAGUA,39411169.000000,5187634.000000,2091747.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
273,321320.32,7405976.20,355030842000041,3550308005185,42,JARAGUA,2,PIRITUBA,Norte,Norte 2,JD IPANEMA - AMA PEDRO RAVARA,"PEDRO RAVARA,R,11A",JD. IPANEMA,39413457.000000,5187300.000000,6160832.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
274,321320.32,7405976.20,355030842000041,3550308005185,42,JARAGUA,2,PIRITUBA,Norte,Norte 2,JD IPANEMA-UBS PEDRO RAVARA,"PEDRO RAVARA,R,11A",JD. IPANEMA,39413457.000000,5187300.000000,2774801.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
275,323325.50,7405516.08,355030842000045,3550308005187,42,JARAGUA,2,PIRITUBA,Norte,Norte 2,JD PANAMERICANO-UBS,"BARRA DA FORQUILHA,R,38",JD PANAMERICANO,39411362.000000,2993000.000000,2787660.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
276,320433.95,7410063.59,355030861000019,3550308005243,61,PERUS,1,PERUS,Norte,Norte 2,PERUS-AMA,"JOAO GONCALVES DE LIMA,VIG,PCA,239",PERUS,39170707.000000,5206180,6146333.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
277,320433.95,7410063.59,355030861000019,3550308005243,61,PERUS,1,PERUS,Norte,Norte 2,PERUS-UBS,"JOAO GONCALVES DE LIMA,VIG,PCA,239",PERUS,39170707.000000,5206180,2788225.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
278,321119.78,7409587.92,355030861000057,3550308005243,61,PERUS,1,PERUS,Norte,Norte 2,RECANTO DOS HUMILDES-UBS,"PAVAO,R,36 A",RECANTO DOS HUMILDES,39156452.000000,5208110,3105504.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
279,324666.25,7405011.68,355030863000164,3550308005114,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,V MAGGI-UBS,"MONTERONE,CDE,R,40",JD. MAGGI,39721435.000000,2982190,2789027.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
280,324875.42,7406015.97,355030842000192,3550308005188,42,JARAGUA,2,PIRITUBA,Norte,Norte 2,ELISIO TEIXEIRA LEITE- AMA,"JOAO AMADO COUTINHO,R,400",JARAGUA,39712572.000000,2715000,6146287.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
281,324875.42,7406015.97,355030842000192,3550308005188,42,JARAGUA,2,PIRITUBA,Norte,Norte 2,ELISIO TEIXEIRA LEITE-UBS,"JOAO AMADO COUTINHO,R,400",JARAGUA,39712572.000000,2715000,2787024.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
282,324474.34,7407231.39,355030842000177,3550308005188,42,JARAGUA,2,PIRITUBA,Norte,Norte 2,UNIAO DAS VILAS DE TAIPAS-UBS,"ELISIO TEIXEIRA LEITE,AV,7703",PARADA DE TAIPAS,39712432.000000,2710000.000000,2788667.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
283,326722.17,7404670.56,355030811000213,3550308005123,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,V TEREZINHA-UBS,"DOMINGOS FRANCISCO DE MEDEIROS,R,70",JD TEREZINHA,39212380.000000,2854010,2789264.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
284,326413.23,7405116.25,355030811000373,3550308005122,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,SILMARYA REJANE MARCOLINO DE SOUZA -JD CAROMB+-UBS,"EUVALDO AUGUSTO FREIRE,R,20",JD. CAROMBE,39211078.000000,2755030,2788586.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
285,327307.65,7404287.26,355030811000023,3550308005123,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD GUARANI-UBS,"SANTANA DO ARACUAI,R,160",JD. GUARANI,39215540.000000,2749130,2787415.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
286,327890.52,7405617.51,355030811000178,3550308005190,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD VISTA ALEGRE-UBS,"IBIRAIARAS,R,21",JD. VISTA ALEGRE,39831197.000000,2778080,2787946.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
287,329071.09,7404479.66,355030811000302,3550308005121,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD LADEIRA ROSA-AMA,"JOSE DA COSTA GAVIAO,R,150",PQ. TIET-,38518818.000000,2772000,6141706.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
288,329071.09,7404479.66,355030811000302,3550308005121,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD LADEIRA ROSA-UBS,"JOSE DA COSTA GAVIAO,R,150",PQ. TIET-,38518818.000000,2772000,2787555.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
289,332070.61,7370013.77,355030830000326,3550308005303,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,ALCINA PIMENTEL PIZA-UBS,"ITAQUAQUECETUBA,ESTR.,8855 (BELMIRA MARIM,AV.)",ILHA DO BORORE,59742289.000000,4846010,4049896.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
290,331419.14,7376875.57,355030858000151,3550308005213,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,JD APURA -UBS,"DARCI BARCELOS,DR.,R,37",JD APURA,56730001.000000,4470170.000000,2787180.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
291,331931.13,7378317.68,355030858000197,3550308005214,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,PQ DOROTEIA-AMA,"ANIQUIS,DOS,R,3",JD. STA TEREZINHA,55600890.000000,4474000.000000,6133495.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
292,331931.13,7378317.68,355030858000197,3550308005214,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,PQ DOROTEIA-UBS,"ANIQUIS,DOS,R,3",JD. STA TEREZINHA,55600890.000000,04474000,2788292.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
293,333195.75,7377683.89,355030858000070,3550308005215,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,V GUACURI-UBS,"VALENTINO FIORAVANTI,R,416",JD. RUBILENE,56740921.000000,4475380,2788934.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
294,333937.56,7377588.16,355030858000180,3550308005215,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,LARANJEIRAS - UBS,"DENIS FURTEL, R,108",LARANJEIRAS,56736180.000000,4475145.000000,2788039.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
295,330860.51,7379967.83,355030822000052,3550308005168,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JD SAO CARLOS-CID ADEMAR-UBS,"CLAUDIA MUZIO,R,163",J SAO CARLOS,56219200.000000,8411470,3074544.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
296,338480.85,7391125.40,355030893000064,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,VILA PRUDENTE SAPOPEMBA - SUVIS,"CENTENARIO DE V PRUDENTE,PCA,108",V. PRUDENTE,272-1786,3132050.000000,2766027,1,Municipal,44,SUPERVISAO DE VIGILANCIA EM SAUDE,4,VIGILANCIA EM SAUDE,0,,,
297,331795.55,7379228.86,355030822000156,3550308005168,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V MISSIONARIA-UBS,"RAINHA DAS MISSOES,R,53",V MISSIONARIA,56122270.000000,4430100,2789078.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
298,331567.61,7380503.68,355030822000042,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V IMPERIO II -UBS,"NESTOR SAMPAIO PENTEADO, DR,R,184",AMERICANOPOLIS,56246554.000000,4409060.000000,2788977.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
299,332739.05,7379013.47,355030822000253,3550308005165,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,CIDADE JULIA-UBS,"PASCOAL GRIECO,R,366",CIDADE JULIA,56236669.000000,4421150,2786893.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
300,332319.93,7380395.96,355030822000169,3550308005166,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JD MIRIAM - AMA,"SANTO AFONSO,AV,419",JD. MIRIAM,56227869.000000,4426000,6133479.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
301,332319.93,7380395.96,355030822000169,3550308005166,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JD MIRIAM-UBS MANOEL S. OLIVEIRA,"SANTO AFONSO,AV,419",JD. MIRIAM,56227869.000000,4426000,2787601.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
302,332335.23,7381892.11,355030838000108,3550308005163,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,AMERICANOPOLIS-AMA,"CIDADE DE SANTOS,R,46",JABAQUARA,55621476.000000,4336050,6143237.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
303,332335.23,7381892.11,355030838000108,3550308005163,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,AMERICANOPOLIS-UBS,"CIDADE DE SANTOS,R,46",JABAQUARA,55621476.000000,4336050,2030969.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
304,334088.40,7376417.88,355030858000118,3550308005215,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,MATA VIRGEM-UBS,"SAUDE,ESTR, DA  47",ELDORADO,56734455.000000,4476540,2788098.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
305,330453.70,7383779.87,355030838000123,3550308005097,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CUPECE-UBS DR. WALDOMIRO PREGNOLATO,"SANTA CATARINA,AV,1523",V STA CATARINA,55643079.000000,4378300,2786966.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
306,331461.82,7383174.44,355030838000004,3550308005097,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,V STA CATARINA-UBS,"BELMIRO ZANETTI ESTEVES,R,181",V  SANTA CATARINA,55639814.000000,4377060,2046997.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
307,332060.39,7385902.94,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,"MILTON SANTOS, PROF- UBS","CECI,AV, 2249",PLANALTO PAULISTA,25781831.000000,4065004,2788101.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
308,332886.53,7383794.14,355030838000092,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CIDADE VARGAS-UBS,"COMERCIARIOS,DOS,R,236",CID VARGAS,55884890.000000,4320030,2030934.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
309,332704.50,7385955.42,355030877000118,3550308005092,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,PQ IMPERIAL-UBS,"JACOPO BASSANO,R,27",V MONTE ALEGRE,22760149.000000,4305080.000000,2788330.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
310,331204.96,7388592.50,355030832000037,3550308005049,32,MOEMA,12,VILA MARIANA,Sul,Sul 1,"SIGMUND FREUD,DR-UBS II INDIANAPOLIS","INDIANOPOLIS,AV,650",MOEMA,50542851.000000,4076011,2788578.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
311,335358.05,7382782.96,355030868000218,3550308005089,68,SACOMA,13,IPIRANGA,Sul,Sul 1,S SAVERIO( AURELIO MELLONE)-UBS,"ATILIO SELVA,R,10",JD. CELESTE,63312131.000000,4095060,2047004.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
312,334102.74,7385754.32,355030827000061,3550308005091,27,CURSINO,13,IPIRANGA,Sul,Sul 1,AGUA FUNDA-UBS,"ROSA DE MORAIS,R,91",V  AGUA FUNDA,50736253.000000,4055000,2064855.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
313,335744.62,7383686.31,355030868000186,3550308005089,68,SACOMA,13,IPIRANGA,Sul,Sul 1,PQ BRISTOL-AMA,"FRANCOIS BUNEL,R,194",PQ BRISTOL,63313089.000000,4193310,6133584.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
